Galaxy,M
UGC00891_rotmod.dat,0.032628464797737476
UGC06983_rotmod.dat,0.15003243811052547
UGC05986_rotmod.dat,0.08754061718077874
UGC06930_rotmod.dat,0.12605928582076087
ESO116-G012_rotmod.dat,0.044610351761937915
NGC5585_rotmod.dat,0.09122558210638416
NGC6674_rotmod.dat,0.8679970144350263
NGC3109_rotmod.dat,0.1888352942184493
F571-8_rotmod.dat,0.10098994894661743
DDO154_rotmod.dat,0.030451262653711075
NGC4051_rotmod.dat,0.19418758768163408
UGC11455_rotmod.dat,0.22043810408065873
UGC06628_rotmod.dat,0.14664920247122198
F579-V1_rotmod.dat,0.24660095492685058
UGC08699_rotmod.dat,1.241933232597983
NGC4085_rotmod.dat,0.06651460653229072
UGC07089_rotmod.dat,0.01515688039533245
KK98-251_rotmod.dat,0.30399083003208066
UGC02455_rotmod.dat,0.03484843181632245
UGCA281_rotmod.dat,0.05481641596448171
CamB_rotmod.dat,0.4398672195430147
NGC3949_rotmod.dat,0.0735187612365877
NGC7814_rotmod.dat,1.0207612555446601
UGC02916_rotmod.dat,1.0085177323819128
UGC01281_rotmod.dat,0.7027879513823854
NGC2903_rotmod.dat,0.8359128229026612
NGC4088_rotmod.dat,0.2263084500330601
UGC05414_rotmod.dat,0.02805437380757834
UGC06787_rotmod.dat,1.5783860173710949
UGC07690_rotmod.dat,0.29687786589999937
NGC2366_rotmod.dat,0.16148508945701792
